name,coordinates
Neyland Stadium,"{""rings"": [[[-83.9245753, 35.9559889], [-83.9244854, 35.9559278], [-83.9244172, 35.9558693], [-83.9244313, 35.9558173], [-83.924401, 35.9558363], [-83.9243812, 35.9558151], [-83.923764, 35.9551535], [-83.9238391, 35.9551057], [-83.9237908, 35.9550427], [-83.9237479, 35.9549689], [-83.9237211, 35.9548918], [-83.9237031, 35.954812], [-83.9237037, 35.954716], [-83.9237224, 35.9546324], [-83.92375, 35.9545232], [-83.9238251, 35.9544147], [-83.9239222, 35.9543078], [-83.9240349, 35.954209], [-83.9241623, 35.9541211], [-83.9243044, 35.9540429], [-83.9244332, 35.9539886], [-83.9245592, 35.9539528], [-83.9246799, 35.9539267], [-83.9248167, 35.9539104], [-83.9249696, 35.953905], [-83.9250823, 35.9539115], [-83.9251903, 35.9539327], [-83.9252969, 35.9539691], [-83.9254169, 35.9540358], [-83.9254712, 35.9540722], [-83.9255383, 35.9541395], [-83.9255806, 35.9541118], [-83.9258393, 35.9543829], [-83.9259282, 35.9544961], [-83.9261164, 35.954672], [-83.9261025, 35.9546807], [-83.9261965, 35.954777], [-83.9262612, 35.954847], [-83.9262485, 35.954855], [-83.9262513, 35.9548584], [-83.9262771, 35.954848], [-83.9263259, 35.9549378], [-83.9263579, 35.9550342], [-83.9263708, 35.9551306], [-83.9263673, 35.9552285], [-83.9263533, 35.9552818], [-83.9263741, 35.955287], [-83.9263761, 35.9553002], [-83.9263755, 35.9553165], [-83.9263714, 35.955333], [-83.9263642, 35.955349], [-83.9263569, 35.9553604], [-83.9263474, 35.9553706], [-83.9263267, 35.955366], [-83.9263071, 35.9554133], [-83.9262642, 35.9554902], [-83.9262172, 35.9555617], [-83.9262152, 35.9555647], [-83.9262106, 35.9555706], [-83.9261638, 35.9556314], [-83.9260993, 35.9557021], [-83.9260637, 35.9557346], [-83.9260428, 35.9557203], [-83.9260082, 35.9557499], [-83.9259367, 35.9558077], [-83.9258591, 35.955861], [-83.9257786, 35.9559119], [-83.9256926, 35.9559562], [-83.9256037, 35.9559952], [-83.9256727, 35.9561059], [-83.9256248, 35.9561266], [-83.9255798, 35.9561413], [-83.9255101, 35.9561609], [-83.9254564, 35.9561761], [-83.9253097, 35.9562059], [-83.9252507, 35.9562157], [-83.9251849, 35.9562233], [-83.9251292, 35.9562249], [-83.9250648, 35.956226], [-83.9249972, 35.9562265], [-83.9248583, 35.9562163], [-83.9248929, 35.9560994], [-83.9247792, 35.9560759], [-83.9246724, 35.9560391], [-83.9245753, 35.9559889]]]}"
Humanities and Social Sciences,"{""rings"": [[[-83.9295056, 35.953948], [-83.9292971, 35.9540911], [-83.9285421, 35.9533781], [-83.9287452, 35.9532393], [-83.9295056, 35.953948]]]}"
University Printing & Mail,"{""rings"": [[[-83.9286417, 35.9463879], [-83.9286575, 35.9468502], [-83.9286637, 35.9470325], [-83.9278184, 35.94705], [-83.9277998, 35.9464992], [-83.928354, 35.9464872], [-83.9283533, 35.9463955], [-83.9286417, 35.9463879]]]}"
UT Warehouse,"{""rings"": [[[-83.9291948, 35.9462953], [-83.9288787, 35.9463466], [-83.9288965, 35.9464167], [-83.9288616, 35.9464222], [-83.9289134, 35.9466341], [-83.9288696, 35.9466421], [-83.9289419, 35.9469336], [-83.9293372, 35.9468664], [-83.9291948, 35.9462953]]]}"
UT Warehouse,"{""rings"": [[[-83.9302013, 35.94693], [-83.929966, 35.9469688], [-83.9293606, 35.9469601], [-83.9293372, 35.9468664], [-83.9291948, 35.9462953], [-83.9291793, 35.9462331], [-83.9299959, 35.9460998], [-83.9302013, 35.94693]]]}"
Alumni Memorial Building,"{""rings"": [[[-83.9260426, 35.9561375], [-83.9258042, 35.9561319], [-83.9258083, 35.9559866], [-83.9258158, 35.9558639], [-83.9260155, 35.9558665], [-83.9260163, 35.9558357], [-83.9260954, 35.955837], [-83.926096, 35.955823], [-83.9261789, 35.9558256], [-83.9262014, 35.9558074], [-83.926413, 35.9558124], [-83.9264322, 35.9558304], [-83.9265174, 35.9558322], [-83.9265165, 35.955848], [-83.9265953, 35.9558481], [-83.9265944, 35.9558789], [-83.9267944, 35.9558836], [-83.9267903, 35.95599], [-83.9268285, 35.9559896], [-83.926855, 35.9560157], [-83.9268555, 35.9560471], [-83.9268278, 35.9560703], [-83.9268268, 35.9561573], [-83.9265461, 35.9561497], [-83.9265463, 35.9561528], [-83.926495, 35.9561699], [-83.9264937, 35.9562111], [-83.9264749, 35.9562251], [-83.9264438, 35.9562242], [-83.9264279, 35.9562094], [-83.9264279, 35.9562073], [-83.9261578, 35.9562019], [-83.9261387, 35.9562172], [-83.9261066, 35.9562161], [-83.9260909, 35.9562018], [-83.9260922, 35.9561601], [-83.9260427, 35.9561405], [-83.9260426, 35.9561375]]]}"
Ayres Hall,"{""rings"": [[[-83.9265314, 35.9574575], [-83.9264131, 35.9575064], [-83.9263545, 35.9574138], [-83.9263181, 35.9574288], [-83.9263146, 35.9574233], [-83.9261086, 35.9575087], [-83.92613, 35.9575427], [-83.9260763, 35.9575649], [-83.9260852, 35.957579], [-83.9260352, 35.9575997], [-83.925997, 35.9576156], [-83.9259882, 35.9576016], [-83.9259289, 35.9576262], [-83.9259087, 35.9575945], [-83.9257055, 35.957679], [-83.9257088, 35.9576842], [-83.92567, 35.9577004], [-83.925728, 35.9577915], [-83.9256121, 35.9578399], [-83.9254524, 35.9575892], [-83.9256348, 35.9575131], [-83.9256526, 35.9575412], [-83.9258322, 35.9574663], [-83.9258146, 35.9574387], [-83.9258646, 35.9574179], [-83.9258565, 35.9574053], [-83.9259043, 35.9573854], [-83.9259538, 35.9573648], [-83.9259618, 35.9573773], [-83.9260119, 35.9573565], [-83.9260286, 35.9573829], [-83.9262048, 35.9573099], [-83.926187, 35.9572818], [-83.926372, 35.9572052], [-83.9265314, 35.9574575]]]}"
Berry Hall;Thompson-Boling Assembly Center and Arena,"{""rings"": [[[-83.9260095, 35.9505095], [-83.9258006, 35.9504216], [-83.9256872, 35.9505927], [-83.9260625, 35.950745], [-83.92612, 35.9507683], [-83.926335, 35.9508555], [-83.9262495, 35.9509789], [-83.9261441, 35.9509367], [-83.9258956, 35.951004], [-83.925752, 35.9510429], [-83.9257664, 35.9510865], [-83.9253703, 35.9517116], [-83.9253492, 35.9517179], [-83.9253794, 35.9517955], [-83.9254632, 35.9520109], [-83.9255455, 35.9520443], [-83.9254641, 35.9521677], [-83.9252094, 35.952063], [-83.9249489, 35.951956], [-83.9247985, 35.9521951], [-83.9246235, 35.9524734], [-83.9246959, 35.9524924], [-83.9246755, 35.9525326], [-83.9243174, 35.9532379], [-83.9241793, 35.9531935], [-83.9241627, 35.9532248], [-83.9242231, 35.9532428], [-83.9242073, 35.9532753], [-83.9242393, 35.9532876], [-83.9240103, 35.9537281], [-83.9240296, 35.9537345], [-83.9236768, 35.954491], [-83.9236305, 35.9544764], [-83.9235143, 35.9544398], [-83.9234691, 35.9545293], [-83.9233696, 35.9544984], [-83.9234024, 35.9544312], [-83.9234566, 35.9544487], [-83.9234701, 35.9544224], [-83.9232527, 35.9543486], [-83.9231563, 35.9543164], [-83.9235411, 35.9535815], [-83.9235813, 35.9535933], [-83.9236095, 35.9535297], [-83.9235748, 35.9535192], [-83.9237669, 35.9531404], [-83.9238029, 35.9531515], [-83.9238364, 35.9530882], [-83.9237964, 35.9530763], [-83.9238175, 35.9530343], [-83.9241743, 35.952325], [-83.9242725, 35.9523562], [-83.9245615, 35.9524481], [-83.9247361, 35.9521698], [-83.9248884, 35.9519272], [-83.9248423, 35.9519143], [-83.9247605, 35.9520552], [-83.9242963, 35.9518773], [-83.9243575, 35.951786], [-83.9243212, 35.9516967], [-83.9242, 35.9513966], [-83.9246769, 35.9506248], [-83.924712, 35.9506135], [-83.9247046, 35.9505893], [-83.9247745, 35.9504783], [-83.9251486, 35.9503788], [-83.9252646, 35.9501977], [-83.9252305, 35.9501839], [-83.9253905, 35.9499321], [-83.9255155, 35.949981], [-83.9255571, 35.949915], [-83.9256076, 35.949936], [-83.9256132, 35.9499287], [-83.9255722, 35.9499009], [-83.9256114, 35.9498626], [-83.9257045, 35.9499227], [-83.9256869, 35.9499396], [-83.9260606, 35.950186], [-83.926017, 35.9502623], [-83.9261369, 35.9503134], [-83.9260095, 35.9505095]]]}"
Carousel Theatre,"{""rings"": [[[-83.9301936, 35.9532635], [-83.9301344, 35.953309], [-83.9301075, 35.9533297], [-83.9299923, 35.9533234], [-83.9299168, 35.9532553], [-83.929914, 35.9531605], [-83.9300017, 35.9530961], [-83.9300489, 35.9530953], [-83.9300466, 35.9530513], [-83.9299986, 35.9530502], [-83.9300001, 35.9529943], [-83.9301956, 35.9529977], [-83.9301971, 35.9530531], [-83.9300878, 35.9530532], [-83.9300886, 35.9530966], [-83.9301212, 35.9531015], [-83.9301231, 35.9531036], [-83.9302023, 35.9531716], [-83.9301936, 35.9532635]]]}"
Carrick Hall,"{""rings"": [[[-83.9353167, 35.952365], [-83.9352265, 35.9524094], [-83.9352036, 35.9523817], [-83.935184, 35.9523911], [-83.9350964, 35.9522731], [-83.9349583, 35.9523427], [-83.9345973, 35.95186], [-83.9347349, 35.9517922], [-83.9346508, 35.9516748], [-83.9346721, 35.9516649], [-83.9346488, 35.9516333], [-83.9347384, 35.9515909], [-83.9347641, 35.9516183], [-83.9347839, 35.9516117], [-83.9349205, 35.9517969], [-83.9349109, 35.9518036], [-83.9349786, 35.9518943], [-83.9348555, 35.9519581], [-83.9348694, 35.9519822], [-83.9348534, 35.9519895], [-83.9348668, 35.9520084], [-83.934886, 35.9519995], [-83.9349323, 35.9520645], [-83.9350616, 35.9520007], [-83.9351509, 35.9521259], [-83.935167, 35.9521207], [-83.9353118, 35.9523312], [-83.935298, 35.9523374], [-83.9353167, 35.952365]]]}"
